averating,brand,dimension,frcolor,img,interface,keycap,led,logilayout,model,name,nreviews,physlayout,price,rollover,size,sku,switch,weight
5.0,Ducky,"13.27"" x 4.13"" x 2.00""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MY68NL1WLLPaNDv_main.jpg,USB,Primary: Multi Dye Sub PBT with Multi legends,White,ANSI,MIYA Pro,Ducky MIYA Pro Panda White LED  60% Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$139.00,Full,60%,MY68NN1W/LLPaNDv,Cherry MX Brown,2.29 lbs
5.0,Ducky,"13.27"" x 4.13"" x 2.00""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MY68NL1WLLPaNDv_main.jpg,USB,Primary: Multi Dye Sub PBT with Multi legends,White,ANSI,MIYA Pro,Ducky MIYA Pro Panda White LED  60% Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$139.00,Full,60%,MY68NC1W/LLPaNDv,Cherry MX Blue,2.29 lbs
5.0,Ducky,"13.27"" x 4.13"" x 2.00""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MY68NL1WLLPaNDv_main.jpg,USB,Primary: Multi Dye Sub PBT with Multi legends,White,ANSI,MIYA Pro,Ducky MIYA Pro Panda White LED  60% Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$139.00,Full,60%,MY68NR1W/LLPaNDv,Cherry MX Red,2.29 lbs
5.0,Ducky,"13.27"" x 4.13"" x 2.00""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MY68NL1WLLPaNDv_main.jpg,USB,Primary: Multi Dye Sub PBT with Multi legends,White,ANSI,MIYA Pro,Ducky MIYA Pro Panda White LED  60% Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$146.00,Full,60%,MY68NW1W/LLPaNDv,Cherry MX Clear,2.29 lbs
5.0,Ducky,"13.27"" x 4.13"" x 2.00""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MY68NL1WLLPaNDv_main.jpg,USB,Primary: Multi Dye Sub PBT with Multi legends,White,ANSI,MIYA Pro,Ducky MIYA Pro Panda White LED  60% Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$146.00,Full,60%,MY68NS1W/LLPaNDv,Cherry MX Silver,2.29 lbs
5.0,Ducky,"13.27"" x 4.13"" x 2.00""",Black,https://mechanicalkeyboards.com/shop/images/products/large_MY68NL1WLLPaNDv_main.jpg,USB,Primary: Multi Dye Sub PBT with Multi legends,White,ANSI,MIYA Pro,Ducky MIYA Pro Panda White LED  60% Dye Sub PBT Mechanical Keyboard,2,US QWERTY,$157.00,Full,60%,MY68NP1W/LLPaNDv,Cherry MX Silent Red,2.29 lbs
,Filco,"14.10"" x 5.30"" x 1.30""",White,https://mechanicalkeyboards.com/shop/images/products/large_1951_CreamGreen_1.jpg,USB,Primary: White Laser Printed ABS with Green legends,n/a,ANSI,Majestouch 2,Filco Majestouch 2 Cream White and Green TKL Mechanical Keyboard,0,US QWERTY,$139.00,Full,Tenkeyless,FKBN87MC/EWG2,Cherry MX Blue,2.20 lbs
,Royal Kludge,"17.25"" x 5.75"" x 1.25""",White,https://mechanicalkeyboards.com/shop/images/products/large_1521_DSC_1506.jpg,USB,Primary: White Double Shot ABS with Backlit (clear) legends,RGB,ANSI,RG-928,Royal Kludge RG-928 White Case RGB LED  Double Shot ABS Mechanical Keyboard,0,US QWERTY,$79.00,6,Full Size,RG928-W-CK,Kailh Blue,2.90 lbs
,Royal Kludge,"17.25"" x 5.75"" x 1.25""",White,https://mechanicalkeyboards.com/shop/images/products/large_1521_DSC_1506.jpg,USB,Primary: White Double Shot ABS with Backlit (clear) legends,RGB,ANSI,RG-928,Royal Kludge RG-928 White Case RGB LED  Double Shot ABS Mechanical Keyboard,0,US QWERTY,$79.00,6,Full Size,RG928-W-RK,Kailh Red,2.90 lbs
4.7,Mechanical Keyboards Inc,"14.17"" x 5.51"" x 1.63""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2583_White_1.JPG,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,Disco,MK Disco White RGB LED TKL Double Shot PBT Mechanical Keyboard,6,US QWERTY,$119.00,Full,Tenkeyless,MK8715RGB-BUSPDWAT6,KBT Brown,2.65 lbs
4.7,Mechanical Keyboards Inc,"14.17"" x 5.51"" x 1.63""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2583_White_1.JPG,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,Disco,MK Disco White RGB LED TKL Double Shot PBT Mechanical Keyboard,6,US QWERTY,$119.00,Full,Tenkeyless,MK8715RGB-CUSPDWAT6,KBT Blue,2.65 lbs
4.7,Mechanical Keyboards Inc,"14.17"" x 5.51"" x 1.63""",Black,https://mechanicalkeyboards.com/shop/images/products/large_2583_White_1.JPG,USB,Primary: White Double Shot PBT with Backlit (clear) legends,RGB,ANSI,Disco,MK Disco White RGB LED TKL Double Shot PBT Mechanical Keyboard,6,US QWERTY,$119.00,Full,Tenkeyless,MK8715RGB-RUSPDWAT6,KBT Red,2.65 lbs
,Royal Kludge,"17.25"" x 5.75"" x 1.25""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1519_DSC_1483.jpg,USB,Primary: Black Double Shot ABS with Backlit (clear) legends,RGB,ANSI,RG-928,Royal Kludge RG-928 RGB LED  Double Shot ABS Mechanical Keyboard,0,US QWERTY,$79.00,6,Full Size,RG928-B-BK,Kailh Brown,2.90 lbs
,Royal Kludge,"17.25"" x 5.75"" x 1.25""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1519_DSC_1483.jpg,USB,Primary: Black Double Shot ABS with Backlit (clear) legends,RGB,ANSI,RG-928,Royal Kludge RG-928 RGB LED  Double Shot ABS Mechanical Keyboard,0,US QWERTY,$79.00,6,Full Size,RG928-B-RK,Kailh Red,2.90 lbs
,Royal Kludge,"14.00"" x 4.10"" x 1.25""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1512_DSC_1449.jpg,USB,Primary: Black Double Shot ABS with Backlit (clear) legends,RGB,ANSI,RG-987,Royal Kludge RG-987 RGB LED  TKL Double Shot ABS Mechanical Keyboard,0,US QWERTY,$74.00,6,Tenkeyless,RG987-B-CG,Greetech Blue,2.40 lbs
,Royal Kludge,"14.00"" x 4.10"" x 1.25""",Black,https://mechanicalkeyboards.com/shop/images/products/large_1512_DSC_1449.jpg,USB,Primary: Black Double Shot ABS with Backlit (clear) legends,RGB,ANSI,RG-987,Royal Kludge RG-987 RGB LED  TKL Double Shot ABS Mechanical Keyboard,0,US QWERTY,$74.00,6,Tenkeyless,RG987-B-RG,Greetech Red,2.40 lbs
5.0,KBParadise,"11.40"" x 3.90"" x 1.70""",Black,https://mechanicalkeyboards.com/shop/images/products/large_KBP-V60GTR-_main.jpg,USB,Primary: Black Pad Printed ABS with White legends,n/a,ANSI,V60,KBParadise V60 GTR 60% Mechanical Keyboard,1,US QWERTY,$99.00,6,60%,KBP-V60GTR-W,Gateron Clear,1.20 lbs
